G	Tr	Rep	ShootDW	NC	RootDW	RootLength	RLDtop	RLDsub	NO3Ntop	NO3Nsub	NO3Nleach
A	SSL	Rep1	3.14	1.87	0.779	3138	2.518	1.034	0.3729	2.505	39.38
A	SSL	Rep2	3.43	1.73	0.683	3079	2.305	1.180	0.3607	2.317	47.91
A	SSL	Rep3	4.56	1.70	0.784	2596	1.978	0.960	0.3767	1.767	42.44
A	SSL	Rep4	3.29	1.99	0.616	1957	1.539	0.676	0.2975	1.915	45.57
A	SSNL	Rep1	2.51	1.93	0.395	2954	2.940	0.403	0.2626	1.623	36.73
A	SSNL	Rep2	3.07	2.15	0.534	2986	2.820	0.559	0.3360	2.320	37.01
A	SSNL	Rep3	2.90	1.78	0.498	3730	3.642	0.579	0.2394	2.068	40.40
A	SSNL	Rep4	2.72	1.75	0.562	3725	3.461	0.755	0.3171	2.336	39.37
B	SSL	Rep1	5.85	2.00	1.19	7170	6.415	1.700	0.1340	1.381	31.03
B	SSL	Rep2	7.22	1.88	1.18	6439	5.843	1.444	0.1242	1.142	35.34
B	SSL	Rep3	6.52	2.18	0.883	5362	4.756	1.313	0.1421	0.9748	34.56
B	SSL	Rep4	6.63	1.81	1.01	5268	4.882	1.080	0.1362	1.708	29.72
B	SSNL	Rep1	4.96	1.78	1.33	6864	6.374	1.395	0.1587	2.124	24.14
B	SSNL	Rep2	5.78	1.67	1.58	8770	8.812	1.114	0.1952	1.535	25.65
B	SSNL	Rep3	5.18	2.03	0.908	5644	5.484	0.904	0.1106	1.632	28.51
B	SSNL	Rep4	5.22	2.10	1.09	6910	6.856	0.965	0.1202	2.334	19.73
